Date,Open,High,Low,Close,Adj Close,Volume
2018-07-10,26156.619141,26400.300781,26156.619141,26368.679688,26368.679688,0
2018-07-11,26234.900391,26234.900391,26103.240234,26139.750000,26139.750000,0
2018-07-12,26202.330078,26321.849609,26172.750000,26317.150391,26317.150391,0
2018-07-13,26414.570313,26512.070313,26383.949219,26413.570313,26413.570313,0
2018-07-16,26421.619141,26570.119141,26421.619141,26481.630859,26481.630859,0
2018-07-17,26489.500000,26735.630859,26486.949219,26681.470703,26681.470703,0
2018-07-18,26769.250000,26990.000000,26769.250000,26893.230469,26893.230469,0
2018-07-19,26871.320313,26871.980469,26666.349609,26731.810547,26731.810547,0
2018-07-20,26754.650391,26801.480469,26452.410156,26573.199219,26573.199219,0
2018-07-23,26534.019531,26596.599609,26465.460938,26526.919922,26526.919922,0
2018-07-24,26610.810547,26860.130859,26604.410156,26734.339844,26734.339844,0
2018-07-25,26771.259766,26804.480469,26631.189453,26687.460938,26687.460938,0
2018-07-26,26774.460938,27027.910156,26774.460938,26942.929688,26942.929688,0
2018-07-27,26946.509766,27045.580078,26925.589844,26975.279297,26975.279297,0
2018-07-30,26967.910156,27017.289063,26885.390625,26885.699219,26885.699219,0
2018-07-31,26887.949219,26976.119141,26757.859375,26907.380859,26907.380859,0
2018-08-01,26951.240234,27005.560547,26834.529297,26897.359375,26897.359375,0
2018-08-02,26856.839844,26856.839844,26593.599609,26734.160156,26734.160156,0
2018-08-03,26778.210938,26947.410156,26749.609375,26877.789063,26877.789063,0
2018-08-06,26906.699219,27097.320313,26814.869141,26892.320313,26892.320313,0
2018-08-07,26954.699219,27026.849609,26785.080078,26789.109375,26789.109375,0
2018-08-08,26772.779297,26869.929688,26695.789063,26793.830078,26793.830078,0
2018-08-09,26809.179688,26984.330078,26762.289063,26984.330078,26984.330078,0
2018-08-10,26892.369141,26892.369141,26599.839844,26671.699219,26671.699219,0
2018-08-13,26637.410156,26710.179688,26512.199219,26699.980469,26699.980469,0
2018-08-14,26788.050781,26829.380859,26498.650391,26591.810547,26591.810547,0
2018-08-15,26637.119141,26656.449219,26090.980469,26200.939453,26200.939453,0
2018-08-16,26266.810547,26447.570313,26266.810547,26430.240234,26430.240234,0
2018-08-17,26475.320313,26494.189453,26235.169922,26377.369141,26377.369141,0
2018-08-20,26455.490234,26573.589844,26412.570313,26502.640625,26502.640625,0
2018-08-21,26475.830078,26728.710938,26428.009766,26633.619141,26633.619141,0
2018-08-22,26626.750000,26753.339844,26617.460938,26682.990234,26682.990234,0
2018-08-23,26689.750000,26832.390625,26669.320313,26779.509766,26779.509766,0
2018-08-24,26806.599609,26890.880859,26761.550781,26832.759766,26832.759766,0
2018-08-27,26908.439453,27120.339844,26908.439453,27102.619141,27102.619141,0
2018-08-28,27160.789063,27255.929688,27146.150391,27207.789063,27207.789063,0
2018-08-29,27221.050781,27366.460938,27220.859375,27285.539063,27285.539063,0
2018-08-30,27250.080078,27250.080078,27040.380859,27185.339844,27185.339844,0
2018-08-31,27138.089844,27138.089844,26873.439453,26901.410156,26901.410156,0
2018-09-03,26894.009766,26979.599609,26755.910156,26820.509766,26820.509766,14208200
2018-09-04,26880.410156,26937.990234,26462.289063,26551.310547,26551.310547,0
2018-09-05,26502.099609,26553.259766,26243.990234,26252.839844,26252.839844,0
2018-09-06,26229.650391,26336.369141,26107.210938,26130.539063,26130.539063,0
2018-09-07,26134.289063,26231.279297,26001.880859,26180.710938,26180.710938,0
2018-09-10,26181.029297,26381.400391,26150.789063,26339.550781,26339.550781,0
2018-09-11,26373.970703,26414.849609,26187.390625,26347.609375,26347.609375,0
2018-09-12,26380.390625,26547.210938,26334.669922,26418.349609,26418.349609,0
2018-09-13,26413.900391,26475.179688,26242.380859,26259.619141,26259.619141,0
2018-09-14,26339.339844,26386.970703,26246.859375,26337.080078,26337.080078,0
2018-09-17,26273.449219,26359.609375,26210.470703,26279.980469,26279.980469,0
