Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,53.275002,53.805000,52.825001,52.884998,52.342525,14968
2018-07-12,53.247501,54.174999,52.917500,53.957500,53.404026,20436
2018-07-13,54.347500,54.347500,53.235001,53.646252,53.095970,17304
2018-07-16,53.492500,53.500000,52.917500,53.044998,52.500881,10664
2018-07-17,52.502499,53.794998,52.450001,53.682499,53.131847,24020
2018-07-18,54.602501,54.997501,53.750000,54.230000,53.673737,31784
2018-07-19,54.172501,54.562500,53.875000,54.355000,53.797440,20156
2018-07-20,54.297501,54.297501,53.625000,54.007500,53.453506,5716
2018-07-23,53.752499,53.752499,51.962502,53.127499,52.582542,29960
2018-07-24,53.722500,54.369999,53.307499,53.767502,53.215981,22164
2018-07-25,53.250000,53.485001,52.862499,53.485001,52.936367,13340
2018-07-26,53.547501,54.807499,53.157501,54.625000,54.064678,23384
2018-07-27,54.540001,55.327499,54.477501,54.477501,53.918694,18448
2018-07-30,53.947498,54.122501,52.220001,52.220001,51.684349,23876
2018-07-31,52.222500,52.587502,51.810001,52.355000,51.817959,29188
2018-08-01,52.752499,53.117500,52.200001,52.602501,52.062927,27944
2018-08-02,52.625000,53.320000,51.840000,53.287498,52.740894,27560
2018-08-03,54.252499,54.562500,54.097500,54.185001,53.629177,14244
2018-08-06,54.897499,54.997501,54.084999,54.437500,53.879101,11324
2018-08-07,55.005001,55.525002,54.692501,55.237499,54.670902,41708
2018-08-08,55.247501,55.990002,55.137501,55.884998,55.311756,12544
2018-08-09,55.722500,56.022499,55.490002,55.669998,55.098949,21876
2018-08-10,55.797501,56.000000,55.197498,55.730000,55.158340,13980
2018-08-13,55.744999,57.049999,55.477501,56.307499,55.729919,17168
2018-08-14,56.622501,57.392502,56.500000,57.267502,56.680073,23500
2018-08-15,58.097500,58.564999,56.549999,57.049999,56.464809,50348
2018-08-16,57.502499,57.665001,55.997501,56.607498,56.026836,32168
2018-08-17,54.000000,55.505001,53.724998,53.869999,53.317406,95044
2018-08-20,53.687500,54.195000,52.197498,52.792500,52.250969,37572
2018-08-21,53.997501,55.000000,53.742500,54.687500,54.126541,35172
2018-08-22,54.562500,56.025002,54.240002,55.807499,55.235043,16436
2018-08-23,56.625000,58.000000,56.375000,57.187500,56.600895,20796
2018-08-24,57.577499,58.419998,57.577499,58.005001,57.410011,22992
2018-08-27,58.005001,59.334999,57.937500,58.840000,58.236443,47788
2018-08-28,59.472500,59.472500,57.742500,57.742500,57.150196,27248
2018-08-29,58.895000,59.292500,58.522499,59.125000,58.556545,14480
2018-08-30,59.527500,60.362499,59.252499,60.240002,59.660831,14560
2018-08-31,60.000000,60.439999,59.252499,60.415001,59.834141,22552
2018-09-03,60.722500,60.747501,60.375000,60.500000,59.918324,13676
2018-09-04,60.872501,61.705002,60.500000,61.540001,60.948326,20556
2018-09-05,61.250000,61.457500,59.342499,59.832500,59.257240,28316
2018-09-06,59.747501,60.092499,58.575001,59.042500,58.474834,54244
2018-09-07,58.647499,59.665001,57.750000,59.665001,59.091354,16468
2018-09-10,59.250000,59.337502,58.349998,59.232498,58.663013,8300
2018-09-11,59.252499,59.665001,58.625000,59.072498,58.504543,14456
2018-09-12,59.250000,59.250000,56.412498,57.340000,56.788708,27456
2018-09-13,57.619999,58.654999,57.472500,58.654999,58.091076,22348
2018-09-14,58.224998,59.750000,58.105000,59.580002,59.007179,16368
2018-09-17,59.395000,59.509998,58.674999,58.952499,58.385712,17624
2018-09-18,58.282501,59.384998,58.250000,59.014999,58.447609,7056
2018-09-19,58.250000,58.262501,57.715000,58.145000,57.585964,11040
2018-09-20,58.372501,58.372501,56.200001,56.552502,56.008778,25680
2018-09-21,56.872501,57.127499,56.292500,56.825001,56.278667,16036
2018-09-24,55.904999,56.325001,54.817501,55.312500,54.780704,18172
2018-09-25,56.667500,57.462502,56.255001,56.759998,56.214283,40204
2018-09-26,57.322498,57.514999,56.717499,56.727501,56.182106,10428
2018-09-27,57.247501,57.500000,56.777500,57.337502,56.786232,9604
2018-09-28,57.575001,60.217499,57.459999,59.857498,59.282013,47640
2018-10-01,61.297501,62.487499,60.919998,62.462502,61.861961,15408
2018-10-02,62.372501,63.402500,62.127499,62.799999,62.196217,32496
2018-10-04,62.424999,62.424999,61.055000,61.055000,60.467991,13568
2018-10-05,60.872501,60.875000,59.007500,59.007500,58.440170,25172
2018-10-08,58.744999,58.967499,57.252499,57.252499,56.702049,34032
2018-10-09,57.752499,58.452499,57.500000,58.002499,57.444839,20980
2018-10-10,57.497501,58.005001,54.627499,54.627499,54.102287,30508
2018-10-11,51.782501,53.369999,51.127499,51.887501,51.388630,142208
2018-10-12,52.375000,53.957500,52.012501,53.000000,52.490425,62036
2018-10-15,53.205002,53.205002,51.270000,52.044998,51.544617,18936
2018-10-16,52.247501,52.247501,51.367500,52.145000,51.643658,26448
2018-10-17,54.497501,54.500000,52.452499,52.654999,52.148754,32008
2018-10-18,52.882500,53.750000,52.250000,52.250000,51.747650,33072
2018-10-19,52.742500,52.972500,51.232498,51.232498,50.739925,17236
2018-10-22,50.277500,51.139999,49.455002,50.767502,50.279400,29628
2018-10-23,49.279999,49.709999,47.275002,47.910000,47.449383,85260
2018-10-24,47.857498,48.435001,45.942501,45.942501,45.500790,29060
2018-10-25,42.322498,43.972500,41.799999,43.592499,43.173378,161980
2018-10-26,45.027500,45.027500,42.584999,43.470001,43.052067,76584
2018-10-29,43.752499,44.967499,41.650002,42.025002,41.620964,64920
2018-10-30,41.275002,43.410000,40.692501,42.740002,42.329094,86648
2018-10-31,45.597500,46.867500,45.027500,45.682499,45.243294,52128
2018-11-01,46.867500,47.750000,45.500000,47.297501,46.842758,34984
2018-11-02,48.974998,48.974998,46.834999,47.165001,46.711536,33520
2018-11-05,47.282501,47.599998,45.177502,45.402500,44.965969,23256
2018-11-06,46.672501,47.037498,45.880001,46.529999,46.082638,12272
2018-11-07,46.422501,47.357498,46.044998,47.294998,46.840282,34196
2018-11-08,47.000000,47.032501,44.947498,45.310001,44.874371,26500
2018-11-09,45.099998,46.055000,44.337502,45.597500,45.159107,32476
2018-11-12,45.500000,45.884998,41.970001,42.174999,41.769508,32272
2018-11-13,42.747501,45.147499,42.507500,44.952499,44.520302,34600
2018-11-14,45.097500,45.700001,43.857498,44.112499,43.688385,30380
2018-11-15,44.202499,44.294998,43.380001,44.294998,43.869125,19116
2018-11-16,37.349998,37.687500,35.187500,36.750000,36.396667,174244
2018-11-19,36.244999,36.250000,33.000000,33.812500,33.487415,93852
2018-11-20,30.627501,33.884998,29.362499,33.127499,32.809006,199320
2018-11-21,33.752499,34.317501,31.750000,32.047501,31.739384,85516
2018-11-22,31.924999,31.924999,31.084999,31.352501,31.051065,31440
2018-11-23,31.497499,32.897499,31.107500,32.132500,31.823565,34320
2018-11-26,32.610001,33.415001,32.352501,32.990002,32.672825,69876
2018-11-27,33.512501,34.200001,33.292500,34.087502,33.759781,44128
2018-11-28,34.572498,35.250000,33.939999,34.412498,34.081650,35768
2018-11-29,35.222500,35.250000,34.307499,34.912498,34.617077,65212
2018-11-30,34.647499,35.880001,34.342499,35.402500,35.102924,15152
2018-12-03,37.099998,38.474998,37.002499,37.397499,37.081047,106308
2018-12-04,37.377499,37.377499,36.000000,36.080002,35.774708,32460
2018-12-05,35.282501,35.360001,34.662498,35.182499,34.884789,18904
2018-12-06,34.372501,34.372501,33.139999,33.712502,33.427223,65972
2018-12-07,34.810001,34.970001,32.917500,32.959999,32.681095,83640
2018-12-10,31.997499,33.395000,31.722500,33.130001,32.849655,45520
2018-12-11,33.669998,34.299999,33.180000,33.180000,32.899231,20876
2018-12-12,32.847500,33.527500,31.847500,33.357498,33.075226,27200
2018-12-13,33.025002,33.755001,32.500000,32.762501,32.485268,24140
2018-12-14,32.459999,33.267502,32.252499,33.035000,32.755463,31520
2018-12-17,32.584999,32.622501,31.197500,32.400002,32.125839,30480
2018-12-18,31.764999,33.035000,31.629999,32.660000,32.383629,30896
