Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,25883.960938,26157.000000,25623.550781,25695.529297,25695.529297,33971000
2022-07-12,25544.560547,25805.519531,25233.490234,25755.179688,25755.179688,35646000
2022-07-13,25675.119141,25734.470703,25136.650391,25503.279297,25503.279297,33686000
2022-07-14,25422.220703,25585.279297,24844.119141,25005.509766,25005.509766,37087000
2022-07-15,25095.679688,25590.699219,25017.580078,25557.640625,25557.640625,43629000
2022-07-18,25697.460938,26035.039063,25697.460938,25921.230469,25921.230469,34556000
2022-07-19,25739.330078,26580.570313,25603.789063,26515.529297,26515.529297,42471700
2022-07-20,26653.820313,26868.880859,26427.019531,26696.419922,26696.419922,41578000
2022-07-21,26671.349609,26825.000000,26366.339844,26656.250000,26656.250000,42015000
2022-07-22,26602.789063,27070.330078,26502.820313,26776.390625,26776.390625,47203000
2022-07-25,26660.529297,26855.699219,26541.210938,26632.660156,26632.660156,31471000
2022-07-26,26609.130859,26630.339844,26056.910156,26063.029297,26063.029297,35786000
2022-07-27,26141.359375,26530.890625,26054.169922,26491.910156,26491.910156,30857000
2022-07-28,26631.970703,26892.369141,26580.429688,26824.509766,26824.509766,37893000
2022-07-29,26962.400391,27499.740234,26961.300781,27364.570313,27364.570313,43305000
2022-08-01,27389.960938,27590.070313,27292.119141,27427.929688,27427.929688,33372000
2022-08-02,27373.339844,27453.000000,27095.839844,27380.109375,27380.109375,29416000
2022-08-03,27423.070313,27838.960938,27337.060547,27806.119141,27806.119141,39057000
2022-08-04,27896.960938,28350.400391,27851.460938,28162.230469,28162.230469,43647000
2022-08-05,28183.019531,28242.900391,27708.089844,27772.580078,27772.580078,37606000
2022-08-08,27908.259766,28112.900391,27757.640625,27851.669922,27851.669922,31580000
2022-08-09,27908.259766,28112.900391,27236.630859,27270.820313,27270.820313,34612000
2022-08-10,27188.449219,27872.900391,26886.179688,27818.279297,27818.279297,35751000
2022-08-11,27957.810547,28079.919922,27783.429688,27896.160156,27896.160156,34719000
2022-08-12,27888.289063,28014.839844,27793.240234,27907.480469,27907.480469,33816000
2022-08-15,28004.980469,28044.789063,27804.869141,27908.140625,27908.140625,26524000
2022-08-16,27971.599609,28292.300781,27903.509766,28108.380859,28108.380859,32596000
2022-08-17,28147.939453,28201.830078,27543.160156,27543.160156,27543.160156,37180000
